date,trade_number,option_symbol,option_type,strike,expiry,entry_time,entry_price,exit_time,exit_price,qty,pnl_points,pnl_rupees,pnl_pct,result,nifty_spot_entry,nifty_spot_exit,vwap_entry,ema20_entry,rsi14_entry,market_state_entry,efficiency_entry,reason_for_entry,reason_for_exit,trailing_sl_used,breakeven_set
2026-05-12,1,NIFTY2651923550PE,PE,23550,2026-05-19,12:10:02,220.5,14:24:15,250.1,65,29.6,1924.0,13.42,WIN,23556.1,23481.15,23655.88,23638.63,30.6,TRENDING,0.597,close=23581.5 < VWAP=23655.9 | EMA20=23638.6 trending down | RSI=30.6 | breakout: low 23580.0 < 23615.1,TRAILING_STOP,True,False
2026-05-14,1,NIFTY2651923600CE,CE,23600,2026-05-19,11:35:00,195.5,11:45:37,238.45,65,42.95,2791.75,21.97,WIN,23605.3,23661.95,23538.8,23524.74,66.6,TRENDING,0.844,close=23632.8 > VWAP=23538.8 | EMA20=23524.7 trending up | RSI=66.6 | breakout: high 23639.8 > 23605.0,TRAILING_STOP,True,False
2026-05-14,2,NIFTY2651923750CE,CE,23750,2026-05-19,13:05:01,198.8,14:46:02,158.75,65,-40.05,-2603.25,-20.15,LOSS,23738.05,23715.05,23611.72,23681.87,68.4,TRENDING,0.824,close=23770.0 > VWAP=23611.7 | EMA20=23681.9 trending up | RSI=68.4 | breakout: high 23773.0 > 23721.3,STOPLOSS_HIT,False,False
2026-05-15,1,NIFTY2651923700PE,PE,23700,2026-05-19,13:50:02,163.55,14:50:21,220.15,65,56.6,3679.0,34.61,WIN,23709.95,23614.4,23766.5,23761.08,35.7,TRENDING,0.754,close=23705.6 < VWAP=23766.5 | EMA20=23761.1 trending down | RSI=35.7 | breakout: low 23696.0 < 23735.0,TRAILING_STOP,True,False
2026-05-18,1,NIFTY2651923550CE,CE,23550,2026-05-19,11:40:00,133.15,11:47:44,106.4,65,-26.75,-1738.75,-20.09,LOSS,23560.7,23517.6,23438.59,23481.22,63.0,TRENDING,0.767,close=23566.0 > VWAP=23438.6 | EMA20=23481.2 trending up | RSI=63.0 | breakout: high 23570.0 > 23534.0,STOPLOSS_HIT,False,False
2026-05-19,1,NIFTY26MAY23750CE,CE,23750,2026-05-26,10:45:00,233.45,11:15:00,207.9,65,-25.55,-1660.75,-10.94,LOSS,23764.75,23719.75,23711.58,23706.63,60.0,TRENDING,0.878,close=23755.0 > VWAP=23711.6 | EMA20=23706.6 trending up | RSI=60.0 | breakout: high 23760.0 > 23745.0,OPPOSITE_SIGNAL,False,False
2026-05-20,1,NIFTY26MAY23650CE,CE,23650,2026-05-26,11:50:00,214.05,13:23:01,171.15,65,-42.9,-2788.5,-20.04,LOSS,23635.3,23580.85,23531.14,23566.22,64.7,TRENDING,0.787,close=23640.0 > VWAP=23531.1 | EMA20=23566.2 trending up | RSI=64.7 | breakout: high 23643.8 > 23600.0,STOPLOSS_HIT,False,False
2026-05-21,1,NIFTY26MAY23650PE,PE,23650,2026-05-26,12:40:00,211.9,13:37:31,169.25,65,-42.65,-2772.25,-20.13,LOSS,23631.65,23670.3,23710.3,23679.31,29.5,TRENDING,0.788,close=23582.6 < VWAP=23710.3 | EMA20=23679.3 trending down | RSI=29.5 | breakout: low 23575.0 < 23610.0,STOPLOSS_HIT,False,False
2026-05-26,1,NIFTY2660224000PE,PE,24000,2026-06-02,12:50:00,180.9,14:06:31,216.45,65,35.55,2310.75,19.65,WIN,23997.7,23927.0,24043.86,24033.06,33.4,TRENDING,0.691,close=23995.0 < VWAP=24043.9 | EMA20=24033.1 trending down | RSI=33.4 | breakout: low 23990.0 < 24001.4,TRAILING_STOP,True,False
2026-05-27,1,NIFTY2660223950CE,CE,23950,2026-06-02,10:30:00,179.4,12:00:00,156.95,65,-22.45,-1459.25,-12.51,LOSS,23963.2,23933.5,23974.42,23985.41,62.8,TRENDING,0.541,close=24028.9 > VWAP=23974.4 | EMA20=23985.4 trending up | RSI=62.8 | breakout: high 24030.0 > 24018.9,OPPOSITE_SIGNAL,False,False
2026-05-29,1,NIFTY2660223850PE,PE,23850,2026-06-02,12:15:01,118.45,13:16:30,154.15,65,35.7,2320.5,30.14,WIN,23835.95,23765.0,24007.51,23992.54,34.4,TRENDING,0.557,close=23930.0 < VWAP=24007.5 | EMA20=23992.5 trending down | RSI=34.4 | breakout: low 23922.9 < 23971.0,TRAILING_STOP,True,False
